Energy_group,coarse_node_id,region_id,material,scalar_flux,volume
1,1,1,inner_fuel,0.9312797612728314,0.42885278411108124
1,1,7,cladding,0.9194204281845973,0.038243425442875525
1,1,8,cladding,0.9201652188915039,0.038243425442875525
1,1,9,cladding,0.9209291030954224,0.038243425442875525
1,1,10,cladding,0.9157565624752251,0.038243425442875525
1,1,3,na_coolant,0.9194927611536693,0.2543064126567741
2,1,1,inner_fuel,1.7746105381309372,0.42885278411108124
2,1,7,cladding,1.7688998913244536,0.038243425442875525
2,1,8,cladding,1.769157433927424,0.038243425442875525
2,1,9,cladding,1.7716426858660612,0.038243425442875525
2,1,10,cladding,1.7722300254414038,0.038243425442875525
2,1,3,na_coolant,1.773599595169151,0.2543064126567741
3,1,1,inner_fuel,3.8588538107310937,0.42885278411108124
3,1,7,cladding,3.8596338561682546,0.038243425442875525
3,1,8,cladding,3.8599512063023207,0.038243425442875525
3,1,9,cladding,3.872821925478908,0.038243425442875525
3,1,10,cladding,3.8558293329725615,0.038243425442875525
3,1,3,na_coolant,3.854089012765119,0.2543064126567741
4,1,1,inner_fuel,4.89505618649886,0.42885278411108124
4,1,7,cladding,4.898551572813659,0.038243425442875525
4,1,8,cladding,4.899959502745042,0.038243425442875525
4,1,9,cladding,4.904464347688071,0.038243425442875525
4,1,10,cladding,4.901958140799756,0.038243425442875525
4,1,3,na_coolant,4.900430753584286,0.2543064126567741
5,1,1,inner_fuel,4.126018739327614,0.42885278411108124
5,1,7,cladding,4.118252545529036,0.038243425442875525
5,1,8,cladding,4.11925705620475,0.038243425442875525
5,1,9,cladding,4.117255088342803,0.038243425442875525
5,1,10,cladding,4.126306430564737,0.038243425442875525
5,1,3,na_coolant,4.12541316756726,0.2543064126567741
6,1,1,inner_fuel,2.8651969254315848,0.42885278411108124
6,1,7,cladding,2.860796535343197,0.038243425442875525
6,1,8,cladding,2.863706153244359,0.038243425442875525
6,1,9,cladding,2.856663398773433,0.038243425442875525
6,1,10,cladding,2.8715273772302505,0.038243425442875525
6,1,3,na_coolant,2.868815842667266,0.2543064126567741
7,1,1,inner_fuel,2.7722448373823276,0.42885278411108124
7,1,7,cladding,2.788246406874916,0.038243425442875525
7,1,8,cladding,2.787934627185004,0.038243425442875525
7,1,9,cladding,2.790892718133957,0.038243425442875525
7,1,10,cladding,2.792437591892238,0.038243425442875525
7,1,3,na_coolant,2.7891951935876675,0.2543064126567741
8,1,1,inner_fuel,0.16198947098112249,0.42885278411108124
8,1,7,cladding,0.16396101897150842,0.038243425442875525
8,1,8,cladding,0.16502068187289368,0.038243425442875525
8,1,9,cladding,0.16486994034531227,0.038243425442875525
8,1,10,cladding,0.16312301756362568,0.038243425442875525
8,1,3,na_coolant,0.16480117634653454,0.2543064126567741
