Energy_group,coarse_node_id,region_id,material,scalar_flux,volume
1,1,1,inner_fuel,0.9309094677659246,0.42885278411108124
1,1,7,cladding,0.9186702508578105,0.038243425442875525
1,1,8,cladding,0.9187541019136761,0.038243425442875525
1,1,9,cladding,0.9186104725373565,0.038243425442875525
1,1,10,cladding,0.9188389179467354,0.038243425442875525
1,1,3,na_coolant,0.9192587326489252,0.2543064126567741
2,1,1,inner_fuel,1.771431155261007,0.42885278411108124
2,1,7,cladding,1.7685383663719827,0.038243425442875525
2,1,8,cladding,1.7684588545477262,0.038243425442875525
2,1,9,cladding,1.7683490228360683,0.038243425442875525
2,1,10,cladding,1.7688151143344824,0.038243425442875525
2,1,3,na_coolant,1.7665587780814598,0.2543064126567741
3,1,1,inner_fuel,3.8458009586368775,0.42885278411108124
3,1,7,cladding,3.849495460361006,0.038243425442875525
3,1,8,cladding,3.848569838843707,0.038243425442875525
3,1,9,cladding,3.848191901856227,0.038243425442875525
3,1,10,cladding,3.8486753093066115,0.038243425442875525
3,1,3,na_coolant,3.846930287378296,0.2543064126567741
4,1,1,inner_fuel,4.879433106679474,0.42885278411108124
4,1,7,cladding,4.8811992967299815,0.038243425442875525
4,1,8,cladding,4.881157948167989,0.038243425442875525
4,1,9,cladding,4.882080415088884,0.038243425442875525
4,1,10,cladding,4.8818915509633936,0.038243425442875525
4,1,3,na_coolant,4.881672376143975,0.2543064126567741
5,1,1,inner_fuel,4.111505359691053,0.42885278411108124
5,1,7,cladding,4.112462972021451,0.038243425442875525
5,1,8,cladding,4.113167105728881,0.038243425442875525
5,1,9,cladding,4.112967485207372,0.038243425442875525
5,1,10,cladding,4.112432199705276,0.038243425442875525
5,1,3,na_coolant,4.113460049983867,0.2543064126567741
6,1,1,inner_fuel,2.854445034296925,0.42885278411108124
6,1,7,cladding,2.8535292494738163,0.038243425442875525
6,1,8,cladding,2.853710267279644,0.038243425442875525
6,1,9,cladding,2.853271088908345,0.038243425442875525
6,1,10,cladding,2.8537990737126875,0.038243425442875525
6,1,3,na_coolant,2.8564680918039578,0.2543064126567741
7,1,1,inner_fuel,2.7650054964768547,0.42885278411108124
7,1,7,cladding,2.782568175597135,0.038243425442875525
7,1,8,cladding,2.782553358062895,0.038243425442875525
7,1,9,cladding,2.783029542800855,0.038243425442875525
7,1,10,cladding,2.7830471789481694,0.038243425442875525
7,1,3,na_coolant,2.782512352646708,0.2543064126567741
8,1,1,inner_fuel,0.16168015358568089,0.42885278411108124
8,1,7,cladding,0.16371540534471715,0.038243425442875525
8,1,8,cladding,0.16357330861259028,0.038243425442875525
8,1,9,cladding,0.16350117718079654,0.038243425442875525
8,1,10,cladding,0.16343916329079589,0.038243425442875525
8,1,3,na_coolant,0.1637486890745845,0.2543064126567741
