Energy_group, coarse_node_id, region_id, material, scalar_flux
1, 1, 1, inner_fuel, 0.5130872447144357
1, 1, 2, cladding, 0.5132228980558945

1, 1, 3, na_coolant, 0.5059919144325188

2, 1, 1, inner_fuel, 0.9790518338519862
2, 1, 2, cladding, 0.9866452411925596

2, 1, 3, na_coolant, 0.9759069840455621

3, 1, 1, inner_fuel, 2.1285113941485454
3, 1, 2, cladding, 2.148991138630628

3, 1, 3, na_coolant, 2.125439612591349

4, 1, 1, inner_fuel, 2.6967234079289257
4, 1, 2, cladding, 2.748665736267021

4, 1, 3, na_coolant, 2.6953071715339627

5, 1, 1, inner_fuel, 2.269571746452308
5, 1, 2, cladding, 2.3281505167727476

5, 1, 3, na_coolant, 2.26648513490907

6, 1, 1, inner_fuel, 1.5383734559960929
6, 1, 2, cladding, 1.7064332103249684

6, 1, 3, na_coolant, 1.517624930536591

7, 1, 1, inner_fuel, 1.5465325298292578
7, 1, 2, cladding, 1.6089647391002178

7, 1, 3, na_coolant, 1.5443449930085913

8, 1, 1, inner_fuel, 0.09082334709877257
8, 1, 2, cladding, 0.10128267755481782

8, 1, 3, na_coolant, 0.08873823509336165
