Energy_group, coarse_node_id, region_id, material, scalar_flux
1, 1, 1, inner_fuel, 0.7188023767691826
1, 1, 2, helium_gas, 0.7170464557939186
1, 1, 3, cladding, 0.7182092397115547
1, 1, 4, na_coolant, 0.7083464781073707
2, 1, 1, inner_fuel, 1.3875980993225503
2, 1, 2, helium_gas, 1.3920389219750942
2, 1, 3, cladding, 1.3985673589049397
2, 1, 4, na_coolant, 1.383904023011894
3, 1, 1, inner_fuel, 3.0089098517033386
3, 1, 2, helium_gas, 3.0216824056326548
3, 1, 3, cladding, 3.0410929009365972
3, 1, 4, na_coolant, 3.0076219500499692
4, 1, 1, inner_fuel, 3.820937426991143
4, 1, 2, helium_gas, 3.8541255817175806
4, 1, 3, cladding, 3.8998183191796305
4, 1, 4, na_coolant, 3.8196758210954043
5, 1, 1, inner_fuel, 3.2160724619724883
5, 1, 2, helium_gas, 3.265173631968281
5, 1, 3, cladding, 3.3046368037443252
5, 1, 4, na_coolant, 3.217770956155082
6, 1, 1, inner_fuel, 2.178920893750018
6, 1, 2, helium_gas, 2.2478366223866875
6, 1, 3, cladding, 2.4301501519254436
6, 1, 4, na_coolant, 2.1544255755965196
7, 1, 1, inner_fuel, 2.222054119112319
7, 1, 2, helium_gas, 2.275969562430949
7, 1, 3, cladding, 2.318776394670497
7, 1, 4, na_coolant, 2.222430300005609
8, 1, 1, inner_fuel, 0.13816150759031237
8, 1, 2, helium_gas, 0.14663502166356152
8, 1, 3, cladding, 0.15532466266288103
8, 1, 4, na_coolant, 0.1352853236211875
