Energy_group, coarse_node_id, region_id, material, scalar_flux
1, 1, 1, inner_fuel, 0.7190987023261901
1, 1, 2, helium_gas, 0.7169589506294545
1, 1, 3, cladding, 0.7192316693242427
1, 1, 4, na_coolant, 0.7083328274708631
2, 1, 1, inner_fuel, 1.387919605713098
2, 1, 2, helium_gas, 1.394714202739169
2, 1, 3, cladding, 1.397878001782092
2, 1, 4, na_coolant, 1.3836636717583934
3, 1, 1, inner_fuel, 3.0105693971174254
3, 1, 2, helium_gas, 3.0195693501985605
3, 1, 3, cladding, 3.041998922112621
3, 1, 4, na_coolant, 3.0078645400556274
4, 1, 1, inner_fuel, 3.8212683220460324
4, 1, 2, helium_gas, 3.8529128722173125
4, 1, 3, cladding, 3.8987911761755125
4, 1, 4, na_coolant, 3.822064083771814
5, 1, 1, inner_fuel, 3.2151108092020397
5, 1, 2, helium_gas, 3.265859409800134
5, 1, 3, cladding, 3.3033595756260437
5, 1, 4, na_coolant, 3.2171886304077963
6, 1, 1, inner_fuel, 2.1776387042864425
6, 1, 2, helium_gas, 2.2469520215121883
6, 1, 3, cladding, 2.4279946837672535
6, 1, 4, na_coolant, 2.153014998740232
7, 1, 1, inner_fuel, 2.2193477548256606
7, 1, 2, helium_gas, 2.275726671090373
7, 1, 3, cladding, 2.3152397611719127
7, 1, 4, na_coolant, 2.220092043602844
8, 1, 1, inner_fuel, 0.13824570509840567
8, 1, 2, helium_gas, 0.14545201788763112
8, 1, 3, cladding, 0.1550316661491602
8, 1, 4, na_coolant, 0.13519514889150835
