Energy_group, coarse_node_id, region_id, material, scalar_flux
1, 1, 13, fuel1, 5.414487283690936
1, 1, 14, coolant, 5.360917526561473
1, 2, 16, fuel1, 5.416481075711964
1, 2, 17, coolant, 5.3630270115695895
1, 3, 19, fuel1, 5.413945387325819
1, 3, 20, coolant, 5.360349954598794
1, 4, 22, fuel1, 5.417159966413332
1, 4, 23, coolant, 5.363658495253507
1, 5, 25, fuel2, 5.437758064566805
1, 5, 26, coolant, 5.37019978433621
1, 6, 28, fuel1, 5.416106058926294
1, 6, 29, coolant, 5.362588162067269
1, 7, 31, fuel1, 5.414957704188463
1, 7, 32, coolant, 5.361271501786668
1, 8, 34, fuel1, 5.416780867178245
1, 8, 35, coolant, 5.363217609693909
1, 9, 37, fuel1, 5.414417984111724
1, 9, 38, coolant, 5.360706114161228
2, 1, 13, fuel1, 0.9175343767407604
2, 1, 14, coolant, 0.9874480046041492
2, 2, 16, fuel1, 0.916484066396078
2, 2, 17, coolant, 0.9863211652649294
2, 3, 19, fuel1, 0.9177622219107412
2, 3, 20, coolant, 0.9876924984104805
2, 4, 22, fuel1, 0.9169642716993172
2, 4, 23, coolant, 0.9868386094100098
2, 5, 25, fuel2, 0.9091609924456483
2, 5, 26, coolant, 0.9808245428644953
2, 6, 28, fuel1, 0.9170587221823956
2, 6, 29, coolant, 0.9869416621947602
2, 7, 31, fuel1, 0.9187863845753512
2, 7, 32, coolant, 0.9887915766274451
2, 8, 34, fuel1, 0.917652927411172
2, 8, 35, coolant, 0.9875763958331345
2, 9, 37, fuel1, 0.9190140497520665
2, 9, 38, coolant, 0.9890359465739427
