Energy_group, coarse_node_id, region_id, material, scalar_flux
1, 1, 13, fuel2, 8.550935206898377
1, 1, 14, coolant, 8.496520088092161
1, 2, 16, fuel2, 8.596179103742948
1, 2, 17, coolant, 8.545038517076463
1, 3, 19, fuel3, 8.707661093984402
1, 3, 20, coolant, 8.644331687435578
1, 4, 22, fuel5, 8.814337980742808
1, 4, 23, coolant, 8.724503268648961
1, 5, 25, fuel5, 8.84892767196433
1, 5, 26, coolant, 8.762442672926273
1, 6, 28, fuel5, 8.849303540241847
1, 6, 29, coolant, 8.762815884772333
1, 7, 31, fuel5, 8.81559208107761
1, 7, 32, coolant, 8.725731563927923
1, 8, 34, fuel3, 8.70899566287355
1, 8, 35, coolant, 8.645767130517326
1, 9, 37, fuel2, 8.595180380244997
1, 9, 38, coolant, 8.543971890177918
1, 10, 40, fuel2, 8.54489005749851
1, 10, 41, coolant, 8.490470335664247
1, 11, 43, fuel2, 8.599350467902322
1, 11, 44, coolant, 8.548152837536524
1, 12, 46, fuel3, 8.682674968504449
1, 12, 47, coolant, 8.617076040495327
1, 13, 49, fuel5, 8.789786639648872
1, 13, 50, coolant, 8.697229434287514
1, 14, 52, fuel6, 8.85862022279884
1, 14, 53, coolant, 8.764436167859493
1, 15, 55, fuel6, 8.886726218644544
1, 15, 56, coolant, 8.79521996343378
1, 16, 58, fuel6, 8.887026072575098
1, 16, 59, coolant, 8.795517087872012
1, 17, 61, fuel6, 8.859602224408146
1, 17, 62, coolant, 8.765431316905346
1, 18, 64, fuel5, 8.790807256244872
1, 18, 65, coolant, 8.698292698244689
1, 19, 67, fuel3, 8.682143647086624
1, 19, 68, coolant, 8.616654270234664
1, 20, 70, fuel2, 8.594818991950177
1, 20, 71, coolant, 8.54359933953722
1, 21, 73, fuel3, 8.714671961478894
1, 21, 74, coolant, 8.651287010154352
1, 22, 76, fuel5, 8.793107489860471
1, 22, 77, coolant, 8.700500448512805
1, 23, 79, fuel6, 8.85643855272374
1, 23, 80, coolant, 8.761700265168892
1, 24, 82, fuel6, 8.894841830880479
1, 24, 83, coolant, 8.803847482497481
1, 25, 85, fuel6, 8.913172960540063
1, 25, 86, coolant, 8.823842623624861
1, 26, 88, fuel6, 8.913305993440352
1, 26, 89, coolant, 8.823978792139766
1, 27, 91, fuel6, 8.895223699062939
1, 27, 92, coolant, 8.804247049176055
1, 28, 94, fuel6, 8.85695430016045
1, 28, 95, coolant, 8.762264894509709
1, 29, 97, fuel5, 8.792857776066285
1, 29, 98, coolant, 8.700320585503373
1, 30, 100, fuel3, 8.712093490688769
1, 30, 101, coolant, 8.648752935156185
1, 31, 103, fuel5, 8.82560475051863
1, 31, 104, coolant, 8.735663199504911
1, 32, 106, fuel6, 8.864828629028164
1, 32, 107, coolant, 8.770549645028456
1, 33, 109, fuel6, 8.897672995278837
1, 33, 110, coolant, 8.806641305497243
1, 34, 112, fuel6, 8.921163159972046
1, 34, 113, coolant, 8.832239809358775
1, 35, 115, fuel6, 8.933089551799272
1, 35, 116, coolant, 8.845166207956796
1, 36, 118, fuel6, 8.933120098723201
1, 36, 119, coolant, 8.845201400552241
1, 37, 121, fuel6, 8.921230850466195
1, 37, 122, coolant, 8.832326134980566
1, 38, 124, fuel6, 8.89769914007795
1, 38, 125, coolant, 8.80671286224021
1, 39, 127, fuel6, 8.864687426395152
1, 39, 128, coolant, 8.770495175825623
1, 40, 130, fuel5, 8.82452878114016
1, 40, 131, coolant, 8.73463666221734
1, 41, 133, fuel5, 8.864029422126704
1, 41, 134, coolant, 8.777383062923144
1, 42, 136, fuel6, 8.894084991181744
1, 42, 137, coolant, 8.802475826086111
1, 43, 139, fuel6, 8.918237036403898
1, 43, 140, coolant, 8.828849071000004
1, 44, 142, fuel6, 8.935597185621376
1, 44, 143, coolant, 8.847648714074102
1, 45, 145, fuel6, 8.944605571334783
1, 45, 146, coolant, 8.857357152843269
1, 46, 148, fuel6, 8.944593945322737
1, 46, 149, coolant, 8.857350793895947
1, 47, 151, fuel6, 8.935551072732148
1, 47, 152, coolant, 8.847622674821263
1, 48, 154, fuel6, 8.918144751858708
1, 48, 155, coolant, 8.828805919014016
1, 49, 157, fuel6, 8.894032688689054
1, 49, 158, coolant, 8.802534060477253
1, 50, 160, fuel5, 8.863473618332774
1, 50, 161, coolant, 8.776894859697066
1, 51, 163, fuel5, 8.86687051442772
1, 51, 164, coolant, 8.780212164840247
1, 52, 166, fuel6, 8.89680811789728
1, 52, 167, coolant, 8.805194962269127
1, 53, 169, fuel6, 8.920797689326061
1, 53, 170, coolant, 8.831399148766629
1, 54, 172, fuel6, 8.938056936505472
1, 54, 173, coolant, 8.85009323938819
1, 55, 175, fuel6, 8.94702529938328
1, 55, 176, coolant, 8.85975963596704
1, 56, 178, fuel6, 8.94701396714585
1, 56, 179, coolant, 8.859753593198107
1, 57, 181, fuel6, 8.938012649019834
1, 57, 182, coolant, 8.850069067820042
1, 58, 184, fuel6, 8.920711394585442
1, 58, 185, coolant, 8.831361944321628
1, 59, 187, fuel6, 8.896772045973783
1, 59, 188, coolant, 8.805269032633747
1, 60, 190, fuel5, 8.866324552068175
1, 60, 191, coolant, 8.779733143947443
1, 61, 193, fuel5, 8.834271375116181
1, 61, 194, coolant, 8.744300349762867
1, 62, 196, fuel6, 8.87308498454837
1, 62, 197, coolant, 8.778805733156402
1, 63, 199, fuel6, 8.905302792265482
1, 63, 200, coolant, 8.81424180934329
1, 64, 202, fuel6, 8.92848251138804
1, 64, 203, coolant, 8.839513283503928
1, 65, 205, fuel6, 8.940306529619033
1, 65, 206, coolant, 8.852330965961727
1, 66, 208, fuel6, 8.940337214551228
1, 66, 209, coolant, 8.852366323054527
1, 67, 211, fuel6, 8.928553509019492
1, 67, 212, coolant, 8.839602918719379
1, 68, 214, fuel6, 8.905340997252932
1, 68, 215, coolant, 8.81432509765083
1, 69, 217, fuel6, 8.872969354690353
1, 69, 218, coolant, 8.77877551339283
1, 70, 220, fuel5, 8.833216854741405
1, 70, 221, coolant, 8.743295105151123
1, 71, 223, fuel3, 8.726983987734322
1, 71, 224, coolant, 8.66349963045672
1, 72, 226, fuel5, 8.805998299686639
1, 72, 227, coolant, 8.713322882530994
1, 73, 229, fuel6, 8.868846604190253
1, 73, 230, coolant, 8.774060131763758
1, 74, 232, fuel6, 8.906811920410707
1, 74, 233, coolant, 8.81573796397976
1, 75, 235, fuel6, 8.925076646614109
1, 75, 236, coolant, 8.83565726533167
