Energy_group, coarse_node_id, region_id, material, scalar_flux
1, 1, 13, fuel2, 1.7946338934063746
1, 1, 14, coolant, 1.783375750220761
1, 2, 16, fuel2, 1.8047562345437038
1, 2, 17, coolant, 1.7941789034203133
1, 3, 19, fuel3, 1.8280718797626139
1, 3, 20, coolant, 1.8133164874747123
1, 4, 22, fuel5, 1.8512807351089404
1, 4, 23, coolant, 1.8322774274587803
1, 5, 25, fuel5, 1.8587716974062445
1, 5, 26, coolant, 1.8404709622018511
1, 6, 28, fuel5, 1.85887326156292
1, 6, 29, coolant, 1.840574700257526
1, 7, 31, fuel5, 1.8515914520123082
1, 7, 32, coolant, 1.8325976493923262
1, 8, 34, fuel3, 1.8285127315560508
1, 8, 35, coolant, 1.8137579017590721
1, 9, 37, fuel2, 1.8050422198473934
1, 9, 38, coolant, 1.7944699389789016
1, 10, 40, fuel2, 1.7945302676957056
1, 10, 41, coolant, 1.7832692836097719
1, 11, 43, fuel2, 1.8049281361307354
1, 11, 44, coolant, 1.794356646536654
1, 12, 46, fuel3, 1.8221693140951352
1, 12, 47, coolant, 1.8069569508007417
1, 13, 49, fuel5, 1.8454249328906527
1, 13, 50, coolant, 1.8258638178842426
1, 14, 52, fuel6, 1.8605002300632434
1, 14, 53, coolant, 1.8400601643905938
1, 15, 55, fuel6, 1.8663066166356417
1, 15, 56, coolant, 1.8464225985863312
1, 16, 58, fuel6, 1.8664074064034692
1, 16, 59, coolant, 1.8465229819690299
1, 17, 61, fuel6, 1.860811495617877
1, 17, 62, coolant, 1.840369066022636
1, 18, 64, fuel5, 1.845858844003196
1, 18, 65, coolant, 1.8263042187171437
1, 19, 67, fuel3, 1.8225539782958353
1, 19, 68, coolant, 1.807340608939337
1, 20, 70, fuel2, 1.8049880082787937
1, 20, 71, coolant, 1.794416886586737
1, 21, 73, fuel3, 1.8281568300970878
1, 21, 74, coolant, 1.8134065315846464
1, 22, 76, fuel5, 1.84544294136021
1, 22, 77, coolant, 1.8258840644604295
1, 23, 79, fuel6, 1.8594487409759073
1, 23, 80, coolant, 1.8389041896430371
1, 24, 82, fuel6, 1.8676326855064767
1, 24, 83, coolant, 1.8478610856286175
1, 25, 85, fuel6, 1.8715326332525992
1, 25, 86, coolant, 1.852104405804222
1, 26, 88, fuel6, 1.8716225452715607
1, 26, 89, coolant, 1.8521934890704828
1, 27, 91, fuel6, 1.8678986265939443
1, 27, 92, coolant, 1.848124310594482
1, 28, 94, fuel6, 1.8598666968896023
1, 28, 95, coolant, 1.8393173105160843
1, 29, 97, fuel5, 1.8458916071952352
1, 29, 98, coolant, 1.8263364566898894
1, 30, 100, fuel3, 1.8284585302958345
1, 30, 101, coolant, 1.813710236691585
1, 31, 103, fuel5, 1.851283222778322
1, 31, 104, coolant, 1.832278797836535
1, 32, 106, fuel6, 1.8604963021518413
1, 32, 107, coolant, 1.8400568081058783
1, 33, 109, fuel6, 1.8676218003891707
1, 33, 110, coolant, 1.8478507648442524
1, 34, 112, fuel6, 1.8727093777411539
1, 34, 113, coolant, 1.853371831680847
1, 35, 115, fuel6, 1.8753161243338292
1, 35, 116, coolant, 1.856183677406809
1, 36, 118, fuel6, 1.8753987038560322
1, 36, 119, coolant, 1.8562653913759273
1, 37, 121, fuel6, 1.8729522004005639
1, 37, 122, coolant, 1.8536120373375748
1, 38, 124, fuel6, 1.8680072283245188
1, 38, 125, coolant, 1.8482319252030917
1, 39, 127, fuel6, 1.8609913825091742
1, 39, 128, coolant, 1.8405467131057272
1, 40, 130, fuel5, 1.8517772831099093
1, 40, 131, coolant, 1.832778189134005
1, 41, 133, fuel5, 1.8586165703017614
1, 41, 134, coolant, 1.8403108272367668
1, 42, 136, fuel6, 1.86627700875768
1, 42, 137, coolant, 1.8463966273093835
1, 43, 139, fuel6, 1.8714942009169366
1, 43, 140, coolant, 1.8520677636893308
1, 44, 142, fuel6, 1.875289650114447
1, 44, 143, coolant, 1.8561580242019402
1, 45, 145, fuel6, 1.87729825611858
1, 45, 146, coolant, 1.8583094614595699
1, 46, 148, fuel6, 1.8773779354461755
1, 46, 149, coolant, 1.8583882900949331
1, 47, 151, fuel6, 1.8755252786071341
1, 47, 152, coolant, 1.8563910893848492
1, 48, 154, fuel6, 1.8718769014255963
1, 48, 155, coolant, 1.8524461293172039
1, 49, 157, fuel6, 1.8668007207831754
1, 49, 158, coolant, 1.8469138471132693
1, 50, 160, fuel5, 1.8591865303792532
1, 50, 161, coolant, 1.8408849271820023
1, 51, 163, fuel5, 1.8586656483321486
1, 51, 164, coolant, 1.8403596448913688
1, 52, 166, fuel6, 1.8663233145232605
1, 52, 167, coolant, 1.846443356770603
1, 53, 169, fuel6, 1.8715378637037476
1, 53, 170, coolant, 1.852111673274195
1, 54, 172, fuel6, 1.875331844993579
1, 54, 173, coolant, 1.8562002769750685
1, 55, 175, fuel6, 1.8773398606878478
1, 55, 176, coolant, 1.8583510416746452
1, 56, 178, fuel6, 1.8774195778154599
1, 56, 179, coolant, 1.858429923023571
1, 57, 181, fuel6, 1.875567584066211
1, 57, 182, coolant, 1.8564334989496944
1, 58, 184, fuel6, 1.8719207651008993
1, 58, 185, coolant, 1.8524903181381767
1, 59, 187, fuel6, 1.8668473652206168
1, 59, 188, coolant, 1.846961050969471
1, 60, 190, fuel5, 1.859236058075615
1, 60, 191, coolant, 1.8409341909127508
1, 61, 193, fuel5, 1.8514311011374338
1, 61, 194, coolant, 1.8324254822104837
1, 62, 196, fuel6, 1.8606331064247827
1, 62, 197, coolant, 1.840195963125152
1, 63, 199, fuel6, 1.8677510473314651
1, 63, 200, coolant, 1.8479810769904512
1, 64, 202, fuel6, 1.8728347660470854
1, 64, 203, coolant, 1.8534974999772393
1, 65, 205, fuel6, 1.875440152381925
1, 65, 206, coolant, 1.8563076927799593
1, 66, 208, fuel6, 1.8755229328598002
1, 66, 209, coolant, 1.8563896448053372
1, 67, 211, fuel6, 1.873078166752244
1, 67, 212, coolant, 1.8537384022909595
1, 68, 214, fuel6, 1.8681374682247744
1, 68, 215, coolant, 1.848363413377478
1, 69, 217, fuel6, 1.8611297539168168
1, 69, 218, coolant, 1.8406875826545814
1, 70, 220, fuel5, 1.8519267716578836
1, 70, 221, coolant, 1.8329261928741833
1, 71, 223, fuel3, 1.8283033558703692
1, 71, 224, coolant, 1.813546472439407
1, 72, 226, fuel5, 1.845649044284189
1, 72, 227, coolant, 1.8260901826585325
1, 73, 229, fuel6, 1.8596584236868325
1, 73, 230, coolant, 1.8391164995144398
1, 74, 232, fuel6, 1.8678380323210173
1, 74, 233, coolant, 1.8480671636024626
1, 75, 235, fuel6, 1.871737248247786
1, 75, 236, coolant, 1.852309209383494
1, 76, 238, fuel6, 1.8718277936915584
1, 76, 239, coolant, 1.8523989523508586
1, 77, 241, fuel6, 1.86810577514273
1, 77, 242, coolant, 1.8483323140474375
1, 78, 244, fuel6, 1.860079391954556
