Energy_group,coarse_node_id,region_id,material,scalar_flux
1,1,5,fuel1,1.0787900402751538
1,1,6,fuel1,1.0791674285314705
1,1,7,fuel1,1.0791261127220155
1,1,8,fuel1,1.0793508504907843
1,1,9,clading,1.0756460204017648
1,1,10,clading,1.074657388784967
1,1,11,clading,1.074038221884309
1,1,12,clading,1.0744054234255782
1,1,3,coolant,1.0686149163540195
2,1,5,fuel1,0.15314847460197678
2,1,6,fuel1,0.1531907814521531
2,1,7,fuel1,0.1531242812732201
2,1,8,fuel1,0.15308231055254368
2,1,9,clading,0.15971657027292496
2,1,10,clading,0.15957021639518448
2,1,11,clading,0.15986236866714174
2,1,12,clading,0.16001252309549752
2,1,3,coolant,0.16500084603583648
