Energy_group, coarse_node_id, region_id, material, scalar_flux
1, 1, 13, fuel1, 5.414482115241338
1, 1, 14, coolant, 5.360913583094474
1, 2, 16, fuel1, 5.416480208678685
1, 2, 17, coolant, 5.36302735637388
1, 3, 19, fuel1, 5.413949026462868
1, 3, 20, coolant, 5.360354764774485
1, 4, 22, fuel1, 5.417155159739069
1, 4, 23, coolant, 5.363654872782751
1, 5, 25, fuel2, 5.43775808266679
1, 5, 26, coolant, 5.370199800635527
1, 6, 28, fuel1, 5.416109839956544
1, 6, 29, coolant, 5.362593059710489
1, 7, 31, fuel1, 5.414952851005163
1, 7, 32, coolant, 5.361267793065053
1, 8, 34, fuel1, 5.41678033430496
1, 8, 35, coolant, 5.36321819576242
1, 9, 37, fuel1, 5.41442194038423
1, 9, 38, coolant, 5.360711160580596
2, 1, 13, fuel1, 0.9175334518843907
2, 1, 14, coolant, 0.9874470105231674
2, 2, 16, fuel1, 0.9164835634970181
2, 2, 17, coolant, 0.9863206262708508
2, 3, 19, fuel1, 0.9177624401283138
2, 3, 20, coolant, 0.9876927358868444
2, 4, 22, fuel1, 0.9169637994484303
2, 4, 23, coolant, 0.9868381010204796
2, 5, 25, fuel2, 0.9091610683192874
2, 5, 26, coolant, 0.9808246244683048
2, 6, 28, fuel1, 0.9170595231772825
2, 6, 29, coolant, 0.986942524567675
2, 7, 31, fuel1, 0.9187863254585951
2, 7, 32, coolant, 0.9887915113656536
2, 8, 34, fuel1, 0.917653420288106
2, 8, 35, coolant, 0.9875769253033352
2, 9, 37, fuel1, 0.9190151374966615
2, 9, 38, coolant, 0.9890371168451206
